Kernel:linear | Gamma:1e-06 e C:1000 | Accuracy: 44.74% | channel: ['E126']| count: 56
Kernel:linear | Gamma:0.1 e C:1000 | Accuracy: 44.74% | channel: ['E126']| count: 57
Kernel:linear | Gamma:0.0001 e C:10 | Accuracy: 44.74% | channel: ['E126']| count: 58
Kernel:sigmoid | Gamma:0.01 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 59
Kernel:linear | Gamma:0.01 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 60
Kernel:linear | Gamma:10 e C:100 | Accuracy: 50.00% | channel: ['E126']| count: 61
Kernel:poly | Gamma:10 e C:0.01 | Accuracy: 42.11% | channel: ['E126']| count: 62
Kernel:linear | Gamma:0.0001 e C:100 | Accuracy: 42.11% | channel: ['E126']| count: 63
Kernel:linear | Gamma:1e-05 e C:10 | Accuracy: 47.37% | channel: ['E126']| count: 64
Kernel:linear | Gamma:10 e C:1 | Accuracy: 42.11% | channel: ['E126']| count: 65
Kernel:linear | Gamma:1 e C:1 | Accuracy: 50.00% | channel: ['E126']| count: 66
Kernel:linear | Gamma:0.001 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 67
Kernel:linear | Gamma:1 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 68
Kernel:rbf | Gamma:0.0001 e C:1000 | Accuracy: 42.11% | channel: ['E126']| count: 69
Kernel:linear | Gamma:0.01 e C:1 | Accuracy: 44.74% | channel: ['E126']| count: 70

Kernel:linear | Gamma:10 e C:1 | Accuracy: 42.11% | channel: ['E127']| count: 1
Kernel:linear | Gamma:10 e C:100 | Accuracy: 42.11% | channel: ['E127']| count: 2
Kernel:linear | Gamma:0.1 e C:1 | Accuracy: 50.00% | channel: ['E127']| count: 3
Kernel:linear | Gamma:0.001 e C:10 | Accuracy: 42.11% | channel: ['E127']| count: 4
Kernel:linear | Gamma:0.001 e C:1000 | Accuracy: 44.74% | channel: ['E127']| count: 5
Kernel:linear | Gamma:1e-06 e C:1000 | Accuracy: 44.74% | channel: ['E127']| count: 6
Kernel:rbf | Gamma:0.1 e C:100 | Accuracy: 44.74% | channel: ['E127']| count: 7
Kernel:linear | Gamma:1e-05 e C:1000 | Accuracy: 42.11% | channel: ['E127']| count: 8
Kernel:rbf | Gamma:0.1 e C:1000 | Accuracy: 42.11% | channel: ['E127']| count: 9
Kernel:rbf | Gamma:0.01 e C:1000 | Accuracy: 42.11% | channel: ['E127']| count: 10
Kernel:linear | Gamma:10 e C:10 | Accuracy: 42.11% | channel: ['E127']| count: 11
Kernel:linear | Gamma:10 e C:100 | Accuracy: 55.26% | channel: ['E127']| count: 12
Kernel:linear | Gamma:0.01 e C:1000 | Accuracy: 42.11% | channel: ['E127']| count: 13
Kernel:linear | Gamma:1e-05 e C:100 | Accuracy: 42.11% | channel: ['E127']| count: 14
Kernel:rbf | Gamma:0.1 e C:100 | Accuracy: 42.11% | channel: ['E127']| count: 15
Kernel:linear | Gamma:0.1 e C:100 | Accuracy: 44.74% | channel: ['E127']| count: 16
Kernel:linear | Gamma:0.001 e C:1 | Accuracy: 42.11% | channel: ['E127']| count: 17
Kernel:linear | Gamma:1e-06 e C:10 | Accuracy: 42.11% | channel: ['E127']| count: 18
